#Matching species	Similarity (%)
Blautia luti--Unclassified Clostridiales--AJ133124 (Valid)	98.1595092025
Blautia faecis--Unclassified Clostridiales--HM626178 (Valid)	95.7969865186
Blautia obeum--Ruminococcaceae--X85101 (Valid)	95.4388389772
Blautia wexlerae--Unclassified Clostridiales--EF036467 (Valid)	95.1646811493
Blautia glucerasea--Unclassified Clostridiales--AB439724 (Valid)	94.3228454172
Blautia schinkii--Unclassified Clostridiales--X94965 (Valid)	93.883161512
Blautia caecimuris--Unclassified Clostridiales--KR364746 (Valid)	93.3139534884
Blautia coccoides--Unclassified Clostridiales--AB571656 (Valid)	93.1647300068
Blautia stercoris--Unclassified Clostridiales--HM626177 (Valid)	93.1386861314
Faecalimonas umbilicata--Lachnospiraceae--LC192831 (Valid)	92.8180574555
Blautia hansenii--Unclassified Clostridiales--AB534168 (Valid)	92.6279863481
Blautia producta--Unclassified Clostridiales--L76595 (Valid)	92.5952045134
Clostridium aldenense--Clostridiaceae--DQ279736 (Valid)	92.2855082913
Eubacterium oxidoreducens--Eubacteriaceae--FR733672 (Valid)	92.1394395079
Blautia hydrogenotrophica--Unclassified Clostridiales--X95624 (Valid)	92.0853406745
Clostridium algidixylanolyticum--Clostridiaceae--AF092549 (Valid)	91.7293233083
Roseburia inulinivorans--Lachnospiraceae--AJ270473 (Valid)	91.6782246879
Clostridium nexile--Clostridiaceae--X73443 (Valid)	91.6781292985
Robinsoniella peoriensis--Lachnospiraceae--AF445285 (Valid)	91.6609706083
Clostridium xylanolyticum--Clostridiaceae--X76739 (Valid)	91.6142557652
Clostridium aerotolerans--Clostridiaceae--X76163 (Valid)	91.5972222222
Faecalicatena contorta--Lachnospiraceae--FR749946 (Valid)	91.5926179084
Faecalicatena fissicatena--Lachnospiraceae--FR749936 (Valid)	91.5926179084
Ruminococcus gnavus--Ruminococcaceae--X94967 (Valid)	91.5347556779
Muricomes intestini--Unclassified Clostridiales--KR364770 (Valid)	91.4325842697
Clostridium indolis--Clostridiaceae--Y18184 (Valid)	91.3875598086
Clostridium amygdalinum--Clostridiaceae--AY353957 (Valid)	91.3757700205
Desulfotomaculum guttoideum--Peptococcaceae--Y11568 (Valid)	91.3192071087
Clostridium bolteae--Clostridiaceae--AJ508452 (Valid)	91.3192071087
Roseburia hominis--Lachnospiraceae--AJ270482 (Valid)	91.2508544087
Clostridium celerecrescens--Clostridiaceae--X71848 (Valid)	91.2508544087
Clostridium sphenoides--Clostridiaceae--AB075772 (Valid)	91.1643835616
Marvinbryantia formatexigens--Lachnospiraceae--AJ505973 (Valid)	91.1541119558
Clostridium saccharolyticum--Clostridiaceae--Y18185 (Valid)	91.1262798635
Roseburia faecis--Lachnospiraceae--AY305310 (Valid)	91.1034482759
Roseburia intestinalis--Lachnospiraceae--AJ312385 (Valid)	91.0396716826
Murimonas intestini--Lachnospiraceae--KC311366 (Valid)	91.0238429173
Lactonifactor longoviformis--Clostridiaceae--DQ100449 (Valid)	90.934645116
Fusicatenibacter saccharivorans--Clostridiaceae--AB698910 (Valid)	90.9282700422
Ruminococcus faecis--Ruminococcaceae--FJ611794 (Valid)	90.8766928011
Faecalicatena orotica--Lachnospiraceae--FR749917 (Valid)	90.8407382092
Hespellia stercorisuis--Lachnospiraceae--AF445264 (Valid)	90.8022130014
Clostridium clostridioforme--Clostridiaceae--M59089 (Valid)	90.7152682256
Anaerotaenia torta--Lachnospiraceae--AB298768 (Valid)	90.7103825137
Clostridium glycyrrhizinilyticum--Clostridiaceae--AB233029 (Valid)	90.7040328093
Clostridium methoxybenzovorans--Clostridiaceae--AF067965 (Valid)	90.6420765027
Eubacterium hadrum--Eubacteriaceae--FR749932 (Valid)	90.6356801094
Clostridium lavalense--Clostridiaceae--EF564277 (Valid)	90.5517241379
Eubacterium cellulosolvens--Eubacteriaceae--X71860 (Valid)	90.4306220096
Ruminococcus gauvreauii--Ruminococcaceae--EF529620 (Valid)	90.3581267218
