Matching species	Similarity (%)
Gemmiger formicilis--Hyphomicrobiaceae--GU562446 (Valid)	99.8901098901
Subdoligranulum variabile--Ruminococcaceae--AJ518869 (Valid)	99.7802197802
Fournierella massiliensis--Ruminococcaceae--LN846908 (Valid)	95.2747252747
Ruthenibacterium lactatiformans--Ruminococcaceae--KM098109 (Valid)	95.1648351648
Faecalibacterium prausnitzii--Ruminococcaceae--AJ413954 (Valid)	93.5093509351
Anaerofilum pentosovorans--Ruminococcaceae--X97852 (Valid)	92.1198668147
Anaerofilum agile--Ruminococcaceae--X98011 (Valid)	91.7869034406
Agathobaculum butyriciproducens--Ruminococcaceae--KP889099 (Valid)	90.9691629956
Butyricicoccus faecihominis--Clostridiaceae--LC082228 (Valid)	90.7488986784
Harryflintia acetispora--Ruminococcaceae--KU999999 (Valid)	90.6387665198
Clostridium leptum--Clostridiaceae--AJ305238 (Valid)	90.2090209021
Caproiciproducens galactitolivorans--Unclassified Clostridiales--FJ805840 (Valid)	90.2090209021
Ethanoligenens harbinense--Ruminococcaceae--AY295777 (Valid)	89.9889988999
Clostridium methylpentosum--Clostridiaceae--Y18181 (Valid)	89.9447513812
Butyricicoccus pullicaecorum--Clostridiaceae--EU410376 (Valid)	89.8678414097
Anaerotruncus colihominis--Ruminococcaceae--AJ315980 (Valid)	89.7689768977
Ruminococcus flavefaciens--Ruminococcaceae--L76603 (Valid)	89.5489548955
Acetanaerobacterium elongatum--Ruminococcaceae--AY487928 (Valid)	89.5259095921
Clostridium jeddahense--Clostridiaceae--HG726040 (Valid)	89.4389438944
Intestinimonas butyriciproducens--Ruminococcaceae--KC311367 (Valid)	89.3289328933
Ruminococcus callidus--Ruminococcaceae--L76596 (Valid)	89.0969162996
Clostridium cellulosi--Clostridiaceae--L09177 (Valid)	88.7788778878
Ruminococcus albus--Ruminococcaceae--L76598 (Valid)	88.7665198238
Ruminococcus champanellensis--Ruminococcaceae--AJ515913 (Valid)	88.7665198238
Hydrogenoanaerobacterium saccharovorans--Ruminococcaceae--EU158190 (Valid)	88.4105960265
Papillibacter cinnamivorans--Ruminococcaceae--AF167711 (Valid)	88.3388338834
Acutalibacter muris--Clostridiaceae--KR364749 (Valid)	88.2288228823
Ruminococcus bromii--Ruminococcaceae--L76600 (Valid)	88.1188118812
Pseudoflavonifractor capillosus--Unclassified Clostridiales--AY136666 (Valid)	88.1188118812
Sporobacter termitidis--Ruminococcaceae--Z49863 (Valid)	87.9955947137
Clostridium sporosphaeroides--Clostridiaceae--X66002 (Valid)	87.9955947137
Agathobaculum desmolans--Ruminococcaceae--L34618 (Valid)	87.7753303965
Flavonifractor plautii--Unclassified Clostridiales--AY724678 (Valid)	87.6787678768
Clostridium viride--Clostridiaceae--X81125 (Valid)	87.651598677
Eubacterium siraeum--Eubacteriaceae--L34625 (Valid)	87.3208379272
Oscillibacter valericigenes--Oscillospiraceae--AB238598 (Valid)	87.1287128713
Oscillibacter ruminantium--Oscillospiraceae--JF750939 (Valid)	86.798679868
Eubacterium coprostanoligenes--Eubacteriaceae--HM037995 (Valid)	86.563876652
Mageeibacillus indolicus--Ruminococcaceae--GQ900631 (Valid)	86.2334801762
Clostridium straminisolvens--Clostridiaceae--AB125279 (Valid)	86.2030905077
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	86.1080485116
Acetivibrio cellulolyticus--Ruminococcaceae--L35516 (Valid)	85.9823399558
Alkalibaculum bacchi--Eubacteriaceae--FJ438469 (Valid)	85.9201773836
Clostridium aldrichii--Clostridiaceae--X71846 (Valid)	85.7772877619
Paenibacillus qingshengii--Paenibacillaceae--KP027419 (Valid)	85.5567805954
Paenibacillus stellifer--Paenibacillaceae--AJ316013 (Valid)	85.5567805954
Paenibacillus selenitireducens--Paenibacillaceae--KC815539 (Valid)	85.1321585903
Paenibacillus panacisoli--Paenibacillaceae--AB245384 (Valid)	85.1157662624
Paenibacillus guangzhouensis--Paenibacillaceae--KJ000691 (Valid)	85.1157662624
Lactobacillus ghanensis--Lactobacillaceae--DQ523489 (Valid)	84.4884488449
