#Matching species	Similarity (%)
Faecalibacterium prausnitzii--Ruminococcaceae--AJ413954 (Valid)	96.4754664824
Gemmiger formicilis--Hyphomicrobiaceae--GU562446 (Valid)	92.4875974486
Fournierella massiliensis--Ruminococcaceae--LN846908 (Valid)	91.2983425414
Subdoligranulum variabile--Ruminococcaceae--AJ518869 (Valid)	90.9795630726
Ruthenibacterium lactatiformans--Ruminococcaceae--KM098109 (Valid)	90.9467864547
Anaerofilum agile--Ruminococcaceae--X98011 (Valid)	89.1151685393
Anaerofilum pentosovorans--Ruminococcaceae--X97852 (Valid)	88.9824561404
Agathobaculum butyriciproducens--Ruminococcaceae--KP889099 (Valid)	87.3906705539
Eubacterium siraeum--Eubacteriaceae--L34625 (Valid)	87.1508379888
Clostridium methylpentosum--Clostridiaceae--Y18181 (Valid)	87.0579915134
Butyricicoccus faecihominis--Clostridiaceae--LC082228 (Valid)	86.9627507163
Ruminococcus flavefaciens--Ruminococcaceae--L76603 (Valid)	86.9030390738
Caproiciproducens galactitolivorans--Unclassified Clostridiales--FJ805840 (Valid)	86.8715083799
Butyricicoccus pullicaecorum--Clostridiaceae--EU410376 (Valid)	86.8603042877
Ruminococcus callidus--Ruminococcaceae--L76596 (Valid)	86.5693430657
Ethanoligenens harbinense--Ruminococcaceae--AY295777 (Valid)	86.5505226481
Anaerotruncus colihominis--Ruminococcaceae--AJ315980 (Valid)	86.5356622999
Harryflintia acetispora--Ruminococcaceae--KU999999 (Valid)	86.2297496318
Clostridium straminisolvens--Clostridiaceae--AB125279 (Valid)	86.1731843575
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	86.0995850622
Clostridium jeddahense--Clostridiaceae--HG726040 (Valid)	85.9431900947
Acetanaerobacterium elongatum--Ruminococcaceae--AY487928 (Valid)	85.7538035961
Clostridium thermocellum--Clostridiaceae--CP000568 (Valid)	85.7538035961
Hydrogenoanaerobacterium saccharovorans--Ruminococcaceae--EU158190 (Valid)	85.7142857143
Acutalibacter muris--Clostridiaceae--KR364749 (Valid)	85.5563234278
Clostridium cellulosi--Clostridiaceae--L09177 (Valid)	85.5062413315
Herbivorax saccincola--Ruminococcaceae--LN868252 (Valid)	85.4196301565
Intestinimonas butyriciproducens--Ruminococcaceae--KC311367 (Valid)	85.3268428373
Ruminococcus albus--Ruminococcaceae--L76598 (Valid)	85.3256979241
Acetivibrio cellulolyticus--Ruminococcaceae--L35516 (Valid)	85.3044086774
Pseudobacteroides cellulosolvens--Ruminococcaceae--HE862234 (Valid)	85.2777777778
Agathobaculum desmolans--Ruminococcaceae--L34618 (Valid)	85.0454227813
Clostridium viride--Clostridiaceae--X81125 (Valid)	85.0382741823
Pseudoflavonifractor capillosus--Unclassified Clostridiales--AY136666 (Valid)	84.9791376912
Flavonifractor plautii--Unclassified Clostridiales--AY724678 (Valid)	84.9162011173
Ruminococcus champanellensis--Ruminococcaceae--AJ515913 (Valid)	84.8573518654
Bacteroides cellulosolvens--Bacteroidaceae--L35517 (Valid)	84.8145556333
Sporobacter termitidis--Ruminococcaceae--Z49863 (Valid)	84.8127600555
Clostridium leptum--Clostridiaceae--AJ305238 (Valid)	84.5196959226
Mageeibacillus indolicus--Ruminococcaceae--GQ900631 (Valid)	84.4228094576
Anaerobacterium chartisolvens--Ruminococcaceae--AB793710 (Valid)	84.4164919637
Clostridium stercorarium--Clostridiaceae--AF266461 (Valid)	84.4074844075
Clostridium stercorarium--Clostridiaceae--X72870 (Valid)	84.2797783934
Eubacterium coprostanoligenes--Eubacteriaceae--HM037995 (Valid)	84.2727905358
Oscillibacter valericigenes--Oscillospiraceae--AB238598 (Valid)	84.1369671558
Clostridium sporosphaeroides--Clostridiaceae--X66002 (Valid)	84.0810419682
Ruminococcus bromii--Ruminococcaceae--L76600 (Valid)	84.0379008746
Clostridium termitidis--Clostridiaceae--FR733680 (Valid)	83.9335180055
Clostridium clariflavum--Clostridiaceae--AB186359 (Valid)	83.7176799441
Clostridium stercorarium--Clostridiaceae--AJ310082 (Valid)	83.6565096953
